score,N,Split,k
0.4344262295081967,40,0.1,2
0.36721311475409835,40,0.1,5
0.2786885245901638,40,0.1,15
0.24000000000000002,40,0.1,25
0.45081967213114754,40,0.2,2
0.4016393442622951,40,0.2,5
0.2857923497267759,40,0.2,15
0.25016393442622936,40,0.2,25
0.41475409836065574,40,0.5,2
0.35868852459016437,40,0.5,5
0.296612021857924,40,0.5,15
0.268983606557377,40,0.5,25
0.4016393442622951,80,0.1,2
0.4098360655737705,80,0.1,5
0.33879781420765015,80,0.1,15
0.3095081967213114,80,0.1,25
0.39344262295081966,80,0.2,2
0.34262295081967215,80,0.2,5
0.27923497267759534,80,0.2,15
0.2531147540983606,80,0.2,25
0.4262295081967213,80,0.5,2
0.4111475409836067,80,0.5,5
0.3182513661202186,80,0.5,15
0.28931147540983615,80,0.5,25
0.32786885245901637,120,0.1,2
0.30491803278688523,120,0.1,5
0.2601092896174863,120,0.1,15
0.24393442622950812,120,0.1,25
0.39344262295081966,120,0.2,2
0.3934426229508197,120,0.2,5
0.2989071038251367,120,0.2,15
0.265245901639344,120,0.2,25
0.43278688524590164,120,0.5,2
0.39278688524590194,120,0.5,5
0.31366120218579263,120,0.5,15
0.2723934426229508,120,0.5,25
